#Red Units

Name | Rating | Obtain Method
[Heartful Cat Nurse](http://game8.jp/archives/133168) | 82 | BC Collab (H)
[Amon](http://game8.jp/archives/174152) | 82 | Permanent (H)
[Atsuhime](http://game8.jp/archives/178291) | 82 | Permanent (H)
[Jekyll & Hyde](http://game8.jp/archives/140971) | 82 | Wizard (Q)
[Hacka Doll 2](http://game8.jp/archives/176747) | 81 | Hacka Doll Collab Ticket (H)
[Taiho Mask (Hacka Doll Reskin)](http://game8.jp/archives/176747) | 81 | TMT Event Ticket (H)
[Freyr/Frey](http://game8.jp/archives/47655) | 82 | Wizard (Q)
[Eren Attack on Titan](http://game8.jp/archives/75466) | 82 | AoT Collab (H)
[Ra](http://game8.jp/archives/79527) | 81 [84] | Permanent (H)
[Hokusai](http://game8.jp/archives/87928) | 81 | Permanent (H)
[Summer Lan Caihe](http://game8.jp/crashfever/185195) | [82] | Summer Event (Q)
[Bootleg Perrault](http://game8.jp/archives/42332) | 81 | Permanent (H)
[Eris](http://game8.jp/archives/89959) | 80 | Wizard (Q)
[Erwin/Elune](http://game8.jp/archives/159646) | 80 | Anniversary (Q)
[Karma/Kama](http://game8.jp/archives/49208) | 80 | Wizard (Q)
[Summer Kirin/Qilin](http://game8.jp/archives/76614) | 80 [83] | Summer Event Ultimate (Q)
[Garnet](http://game8.jp/archives/154511) | 79 [84] | Bridal Event (Q)
[Hazuru](http://game8.jp/archives/51839) | 79 | Permanent (H)
[Mermaid Halloween Ver.](http://game8.jp/archives/178814) | 79 | Halloween 2 Event (H)
[DRTH] (http://game8.jp/archives/39579) | 78 | Permanent (H)
[Amaterasu UA](http://game8.jp/archives/86115) | 78 | Wizard (Q)
[Galaxy Warrior Cosmo/Super Galaxy Cosmo](http://game8.jp/archives/133165) | 78 | BC Collab (H)
[Chris](http://game8.jp/archives/156832) | 78 | KoF Collab (Q)
Chessia | [78] | ToS Collab (H)
[School Festival Antoinette](http://game8.jp/archives/171422) | 78 | School Event (H)
[Uranus](http://game8.jp/archives/97820) | 78 | Wizard (Q)
[Kali](http://game8.jp/archives/93563) | 77 | Wizard (Q)
[Kurumi](http://game8.jp/archives/47848) | 77 | Permanent (H)
[Shingen Takeda](http://game8.jp/archives/53944) | 77 | Wizard (Q)
[Belial UA](http://game8.jp/archives/74191) | 76 | Permanent (H)
[King Enra](http://game8.jp/archives/114130) | 76 | Regional Festival (H)
[Colossal Titan Attack on Titan](http://game8.jp/archives/79847) | 76 | AoT Collab (Q)
[Ymir](http://game8.jp/archives/43332) | 76 | Permanent (H)
[Arthur UA](http://game8.jp/archives/100443) | 75 | Wizard (Q)
[Uriel](http://game8.jp/crashfever/30137) | 75 | Permanent (H)
[Watson](http://game8.jp/archives/168135) | 75 | Permanent (H)
[Prometheus](http://game8.jp/archives/28747) | 75 | Permanent (H)
[Suzaku](http://game8.jp/archives/40012) | 74 | Link (H)
[Hellraiser](http://game8.jp/archives/151371) | 73 | 8M Downloads Event
[Anri Sonohara](http://game8.jp/archives/54282) | 72 | DRRR Collab (Q)
[Christmas Belial](http://game8.jp/archives/41046) | 72 | Christmas Event (H)
[Totori](http://game8.jp/archives/112196) | 71 | New Year Event (Q)
[Kyo Kusanagi '95](http://game8.jp/archives/156811) | 70 | KoF Collab Ticket (H)
[Urashima](http://game8.jp/crashfever/37506) | 70 | Material (Q)
[Son Goku](http://game8.jp/archives/104838) | 70 | Wizard (Q)
[Louis XVI/Louis 16 of the World](http://game8.jp/archives/73139) | 70 | Wizard (Q)
[Agra](http://game8.jp/archives/131026) | 66 | Story (Q)
[Belial](http://game8.jp/archives/28722) | 65 | Permanent (H)
[Rosso](http://game8.jp/archives/151351) | 65 | AI Customize Unit
[Arthur](http://game8.jp/archives/41447) | 65 | Wizard (Q)
[Fenrir](http://game8.jp/archives/37498) | ? | Permanent (H)
[Melissa](http://game8.jp/archives/30120) | ? | Virus Link (H)
Colossus | ? | Wizard (Q)
[Rutherford](http://game8.jp/crashfever/181696) | ? | Ranking (H)
[Rutherford UA](http://game8.jp/crashfever/181695) | ? | Ranking (H)
[Jang Yeong-sil](http://game8.jp/crashfever/185755) | ? | Regional Festival (H)
[New Year Fenrir](http://game8.jp/crashfever/196410) | ? | New Year Event (Q)
[New Year Belial](http://game8.jp/crashfever/196409) | ? | New Year Event (Q)
[New Year Ryunosuke Akutagawa](http://game8.jp/crashfever/196479) | ? | New Year Event (H)
[New Year Galois](http://game8.jp/crashfever/196481) | ? | New Year Event (H)
[New Year Euclid](http://game8.jp/crashfever/196480) | ? | New Year Event (H)
[New Year Lawrence](http://game8.jp/crashfever/196478) | ? | New Year Event (H)

#Blue Units

Name | Rating | Obtain Method
:--|:--|:--
[Euclid UA](http://game8.jp/archives/91385) | 98 | Festival (H)
[Summer Faraday](http://game8.jp/archives/73572) | 98 [97] | Summer Event (H)
[Celsius](http://game8.jp/archives/151382) | 97 | Festival (H)
[Dirac](http://game8.jp/archives/84100) | 96 [94] | Festival (H)
[Christmas Fermat](http://game8.jp/crashfever/191659) | 96 | Christmas Event (H)
[Bernoulli](http://game8.jp/archives/103715) | 96 | Festival (H)
[Aqua](http://game8.jp/crashfever/182709) | 96 | Konosuba Collab (H)
[Boolean/Boole UA](http://game8.jp/archives/103266) | 96 | Festival (H)
[Ame no Murakumo](http://game8.jp/archives/54987) | 96 [95] | Blade Ranking Ticket
[Neumann](http://game8.jp/archives/48939) | 95 | Festival (H)
[Pascal](http://game8.jp/crashfever/187393) | 95 | Festival (H)
[Summer Freud/Froid](http://game8.jp/archives/126449) | 95 [96] | Summer Event (H)
[Murasaki Shikibu](http://game8.jp/archives/83097) | 94 | Permanent (H)
[Maxwell](http://game8.jp/archives/159654) | 94 [96] | Anniversary (H)
[Fibonacci UA](http://game8.jp/archives/101075) | 94 | Festival (H)
[Summer Confucius](http://game8.jp/crashfever/190062) | 95 [94] | Summer Event (H)
Suleiman | [94] | Regional Festival (H)
[Hempel UA](http://game8.jp/archives/106358) | 94 | Festival (H)
[School Festival Takenaka Hanbei](http://game8.jp/archives/175059) | 94 [93] | School Event Ultimate (Q)
[Dark Catman](http://game8.jp/archives/133167) | 94 | BC Collab (H)
[Lawrence](http://game8.jp/archives/41775) | 93 [91] | Permanent (H)
[Summer Euler](http://game8.jp/archives/73573) | 93 | Summer Event (H)
[Summer He Xiangu](http://game8.jp/crashfever/185198) | [93] | Summer Event (H)
[Jung](http://game8.jp/archives/126412) | 93 | Festival (H)
[Summer Schrodinger](http://game8.jp/archives/73578) | 93 [94] | Summer Event (H)
[Trident](http://game8.jp/archives/74433) | 93 [91] | Spear Ranking Ticket
[Perry](http://game8.jp/archives/178306) | 92 | Ultimate Wizard (Q)
[Odin UA](http://game8.jp/archives/121288) | 92 | Ultimate Wizard (Q)
[Andersen](http://game8.jp/archives/140985) | 92 | Ultimate Wizard (Q)
[Jeanne UA](http://game8.jp/archives/89972) | 91 | Wizard (Q)
[Summer Mobius](http://game8.jp/archives/73575) | 91 | Festival (H)
[Set](http://game8.jp/archives/79331) | 91 | Ultimate Wizard (Q)
[Gangrim](http://game8.jp/archives/179741) | [91] | Regional Festival (H)
[Khakkhara/Sha Wujing](http://game8.jp/archives/105579) | 91 | Staff Ranking Ticket
[Fortuna](http://game8.jp/archives/154513) | 91 | Bridal Event (H)
[Mobius UA](http://game8.jp/archives/85077) | 91 | Festival (H)
[Schwarzschild UA](http://game8.jp/archives/126521) | 90 | Ranking (H)
[Ibarahime/Sleeping Beauty](http://game8.jp/archives/140951) | 90 | Permanent (H)
[Lindsay] (http://game8.jp/archives/107273) | 90 | Christmas Ranking Reward
[Velvet](http://game8.jp/archives/107270) | 90 | Christmas Ranking Reward
[Odin](http://game8.jp/archives/46589) | 90 | Ultimate Wizard (Q)
[Chariot](http://game8.jp/archives/116188) | 90 | Ghost Shop
[Leibniz UA](http://game8.jp/archives/148433) | 89 | Ranking (H)
[Mordred Sanrio Ver.](http://game8.jp/archives/69028) | 89 | Sanrio Collab (H)
[Maria/Mary](http://game8.jp/archives/41041) | 89 | Christmas Event (H)
[Antoinette](http://game8.jp/archives/73323) | 89 [85] | Permanent (H)
[School Festival Sanson](http://game8.jp/archives/171423) | 89 | School Event (H)
[Koryu UA](http://game8.jp/archives/114125) | 89 | Wizard (Q)
[Enkidu](http://game8.jp/archives/85080) | 89 | Permanent (H)
[Kenshin Uesugi](http://game8.jp/archives/53960) | 88 | Permanent (H)
[Levi/Rivai Attack on Titan](http://game8.jp/archives/81657) | 88 | AoT Collab (H)
[Matsuri Lupica (Night Ver.)](http://game8.jp/archives/166552) | 88 [90] | Matsuri Event Ultimate (Q)
[Mordred](http://game8.jp/archives/39799) | 88 | Permanent (H)
[Kafka/Kafuka](http://game8.jp/archives/101944) | 88 | Ultimate Wizard (Q)
[Touka](http://game8.jp/archives/124591) | 88 | Valentine's Event (H)
[Spring/Ohanami Degas](http://game8.jp/archives/139393) | 88 | Spring Event (H)
[Summer Lakshmi](http://game8.jp/archives/163381) | 87 | Summer (H)
[Hannibal](http://game8.jp/archives/147026) | 87 | Permanent (H)
[Cronos/Kronos](http://game8.jp/archives/97781) | 87 | Permanent (H)
[Ying Zheng](http://game8.jp/crashfever/195809) | [87] | Ultimate Wizard (Q)
[Ryuugamine Mikado DRRR Collab](http://game8.jp/archives/55816) | 87 | DRRR Collab (H)
[Christmas Natsume Soseki](http://game8.jp/crashfever/191661) | 87 | Christmas Event (H)
[Vaniller](http://game8.jp/archives/124726) | 87 | Valentine's Event (H)
[Yuri Sakazaki](http://game8.jp/archives/156805) | 87 | KoF Collab (H)
[Nessebar](http://game8.jp/archives/131666) | 86 | Ghost Shop
[Leibniz](http://game8.jp/archives/148429) | 86 [90] | Ranking (H)
[Bride Idunn](http://game8.jp/archives/154515) | 86 | Bridal Event (H)
Cassandra | [86] | ToS Collab (H)
Zheng Chenggong | [86] | Regional Festival (H)
[Eren Titan Attack on Titan](http://game8.jp/archives/79845) | 86 | AoT Collab (H)
[Freyja/Freya](http://game8.jp/archives/44466) | 86 | Permanent (H)
[Wigner](http://game8.jp/archives/86480) | 86 | Ranking (H)
[Ryunosuke Akutagawa](http://game8.jp/archives/101916) | 85 | Permanent (H)
[Christmas Senko](http://game8.jp/crashfever/191660) | 85 | Christmas Event (H)
[Andy Bogard](http://game8.jp/archives/156807) | 85 | KoF Collab (H)
[Thor Halloween Ver.](http://game8.jp/archives/178815) | 85 | Halloween 2 Event (H)
[Urs/Ulls/Urd](http://game8.jp/archives/116957) | 85 | Permanent (H)
[Hugin and Munin](http://game8.jp/archives/44640) | 85 | Wizard (Q)
[Wiz](http://game8.jp/crashfever/182715) | 85 | Konosuba Collab (H)
[Aqua Pajama Ver.](http://game8.jp/crashfever/182892) | 84 | Konosuba Collab Raid Reward
Satan (Tower of Saviors) | [84] | ToS Collab (H)
[Koryu](http://game8.jp/archives/104837) | 84 | Wizard (Q)
[Fool/Feurs](http://game8.jp/archives/41581) | 84 | Permanent (H)
[Sanzo Hoshi UA](http://game8.jp/archives/144168) | 84 | Regional Festival (H)
[Corin](http://game8.jp/crashfever/191658) | 83 | Christmas Event (Q)
[Lucifigus](http://game8.jp/archives/28763) | [83] | Permanent (H)
[Colleen](http://game8.jp/crashfever/191658) | 83 | Christmas Event (Q)
[Sanzo Hoshi](http://game8.jp/archives/103398) | 83 | Regional Festival (H)
[Forneus UA](http://game8.jp/archives/75760) | 83 | Permanent (H)
[Akechi Kogoro](http://game8.jp/archives/168136) | 82 | Permanent (H)
[Super Miracle Happy](http://game8.jp/archives/159645) | 82 [80] | Anniversary (Q)
[Saraswati](http://game8.jp/archives/49374) | 82 | Permanent (H)
[Xena](http://game8.jp/archives/61661) | 81 | Wizard (Q)
[Soji Okita](http://game8.jp/archives/32725) | 81 | Permanent (H)
[Wigner UA](http://game8.jp/archives/86493) | 81 | Ranking (H)
[Matsuri Lupica (Summer Ver.)](http://game8.jp/archives/166527) | 80 [84] | Matsuri Event (Q)
[Yueying] (http://game8.jp/archives/91689) | 80 | Permanent (H)
[Japanese Clothing Shoki](http://game8.jp/archives/174192) | 80 | School Event (Q)
[Nekomut/Bahamut](http://game8.jp/archives/133171) | 80 | BC Collab (Q)
Antoine de Pilote | [79] | Wizard (Q)
[School Festival Shoki](http://game8.jp/archives/174191) | 79 | School Event (Q)
[Izanagi](http://game8.jp/archives/126853) | 79 | Permanent (H)
[Elysee](http://game8.jp/archives/131027) | 79 | Story (Q)
[Hacka Doll 3](http://game8.jp/archives/176750) | 78 | Hacka Doll Collab (Q)
[Duduri (Hacka Doll Reskin)](http://game8.jp/archives/176750) | 78 | TMT Event (Q)
[Snow White](http://game8.jp/archives/61641) | 78 | Permanent (H)
[Jeanne](http://game8.jp/archives/39913) | 78 | Wizard (Q)
[Leviathan](http://game8.jp/archives/33744) | 78 | Permanent (H)
[Colchis](http://game8.jp/archives/87832) | 77 | Wizard (Q)
[Paimon](http://game8.jp/archives/174153) | 77 | Permanent (H)
[Otohime](http://game8.jp/crashfever/35491) | 77 | Material (Q)
[Osamu Dazai](http://game8.jp/archives/101939) | 77 | Wizard (Q)
[Durga](http://game8.jp/archives/93571) | 77 | Permanent (H)
[Tiamat](http://game8.jp/archives/84839) | 77 | Wizard (Q)
[Yoshino](http://game8.jp/archives/139395) | 76 | Spring Event (Q)
[Brahma](http://game8.jp/archives/93564) | 76 | Permanent (H)
[Orihara Izaya DRRR Collab](http://game8.jp/archives/54281) | 76 | DRRR Collab (Q)
[Kaito Hamelin Vocaloid Collab](http://game8.jp/archives/120290) | 75 | Vocaloid Collab (Q)
[Seiryu](http://game8.jp/archives/40015) | 75 | Link (H)
[Siegfried](http://game8.jp/crashfever/28736) | 75 | Permanent (H)
[Takenaka Hanbei](http://game8.jp/archives/108605) | 75 | Wizard (Q)
[Lan Caihe](http://game8.jp/archives/144241) | 75 | Wizard (Q)
[Cabir](http://game8.jp/crashfever/184134) | 74 | 9M Downloads (Q)
[Scar](http://game8.jp/archives/150120) | 74 | FMA Collab (Q)
[Kim Kaphwan](http://game8.jp/archives/156810) | 72 | KoF Collab (Q)
[Shiva](http://game8.jp/archives/49207) | 71 | Wizard (Q)
[The Fiend With 20 Faces](http://game8.jp/crashfever/168146) | 70 | Wizard (Q)
[Spur](http://game8.jp/archives/106904) | 69 | Christmas Event (Q)
[Morris](http://game8.jp/archives/41776) | 67 | Virus Link (H)
[Yukine Vocaloid Collab](http://game8.jp/archives/120295) | 65 | Vocaloid Collab
[Forneus](http://game8.jp/archives/28726) | 65 | Permanent (H)
[Thetis](http://game8.jp/archives/28761) | 65 | Permanent (H)
[Azlo](http://game8.jp/archives/151362) | 65 | AI Customize Unit
[Charlie](http://game8.jp/archives/30991) | 65 | Challenge Tower
[Gustav](http://game8.jp/archives/42340) | ? | Permanent (H)
[Raphael](http://game8.jp/crashfever/30138) | ? | Permanent (H)
[New Year Maclaurin](http://game8.jp/crashfever/196483) | ? | New Year Event (H)
[New Year Fondue](http://game8.jp/crashfever/196482) | ? | New Year Event (H)
[New Year Dalton](http://game8.jp/crashfever/196485) | ? | New Year Event (H)
[New Year Fahrenheit](http://game8.jp/crashfever/196484) | ? | New Year Event (H)

#Green Units

Name | Rating | Obtain Method
:--|:--|:--
[Turing UA](http://game8.jp/archives/93205) | 99 | Festival (H)
[Galois](http://game8.jp/archives/96289) | 98 [97] | Festival (H)
[Halley](http://game8.jp/archives/116183) | 96 [97] | Festival (H)
Necronomicon | [97] | Cthulhu Event (H)
[Hatsune Miku V4X](http://game8.jp/archives/119921) | 96 [95] | Vocaloid Collab (H)
[Mobius Halloween Ver.](http://game8.jp/archives/178806) | 95 | Halloween 2 Event (H)
[Summer Hempel](http://game8.jp/archives/163383) | 95 | Summer Event (H)
[Loki](http://game8.jp/archives/116947) | 95 | Ultimate Wizard (Q)
[Pareto UA](http://game8.jp/archives/144167) | 95 | Festival (H)
[Heisenberg UA](http://game8.jp/archives/85078) | 95 [93] | Festival (H)
[Guan Yu](http://game8.jp/archives/152345) | 95 | Regional Festival (H)
[Pauli](http://game8.jp/archives/128176) | 94 | Festival (H)
[Dalton](http://game8.jp/archives/170300) | 94 | Festival (H)
[Bonanza](http://game8.jp/archives/96786) | 94 | 1st Queen's Tower
[Cauchy Halloween Ver.](http://game8.jp/archives/178805) | 94 | Halloween 2 Event (H)
[Euler UA](http://game8.jp/archives/78852) | 94 | Festival (H)
[Masamune](http://game8.jp/archives/54986) | 94 [92] | Blade Ranking Ticket
[Lakshmi](http://game8.jp/archives/93569) | 94 [90] | Permanent (H)
[Gauss](http://game8.jp/archives/161939) | 93 [95] | Anniversary (H)
[Yunyun](http://game8.jp/crashfever/182711) | 93 | Konosuba Collab (H)
[Lu Bu](http://game8.jp/archives/91606) | 93 | Ultimate Wizard (Q)
Rakshasa | [93] | ToS Collab (H)
Leif | [93] | Regional Festival (H)
[Laevateinn](http://game8.jp/archives/168991) | 93 | Sword Ranking Ticket
[Poisson UA](http://game8.jp/archives/109111) | 93 | Festival (H)
Tang Sanzang | [92] | ToS Collab (H)
[Plateau](http://game8.jp/archives/142161) | 92 | Festival (H)
[Harvest](http://game8.jp/archives/95128) | 92 | Halloween Event (Q)
[Lovers](http://game8.jp/archives/124489) | 92 [93] | Ghost Shop
[Christmas Lupin](http://game8.jp/crashfever/194024) | 92 | Christmas Event Ultimate (Q)
[Degas](http://game8.jp/archives/87929) | 92 | Permanent (H)
[Gae Bolg](http://game8.jp/archives/74432) | 92 [89] | Spear Ranking Ticket
[Descartes UA](http://game8.jp/archives/168987) | 91 | Ranking (H)
[Lucifer](http://game8.jp/archives/61092) | 91 | Ultimate Wizard (Q)
[Hatsune Miku Append UA](http://game8.jp/archives/120238) | 91 | Vocaloid Collab (H)
[Hikoboshi](http://game8.jp/archives/73591) | 91 | Tanabata Event (Q)
[Summer Cao Cao](http://game8.jp/crashfever/185197) | [91] | Summer Event Ultimate (Q)
[Lupin](http://game8.jp/archives/168171) | 90 | Ultimate Wizard (Q)
[De Morgan UA](http://game8.jp/archives/81711) | 90 | Ranking (H)
[Summer Morse](http://game8.jp/archives/163382) | 90 [92] | Summer Event (H)
[Satan](http://game8.jp/archives/174151) | 90 | Permanent (H)
[Izun/Idunn](http://game8.jp/archives/116955) | 90 | Permanent (H)
[Hatsune Miku Append](http://game8.jp/archives/44193) | 90 | Vocaloid Collab (H)
[Rapunzel Halloween Ver.](http://game8.jp/archives/95308) | 90 | Halloween Event (H)
[Magallanica/Magellanica](http://game8.jp/archives/116189) | 90 | Ghost Shop
[Summer Kondo](http://game8.jp/archives/163379) | 89 | Summer Event (H)
[Matsuri Date Masamune](http://game8.jp/archives/166538) | 89 | Matsuri Event (H)
[Ryo Sakazaki](http://game8.jp/archives/156804) | 89 | KoF Collab (H)
[Raven](http://game8.jp/archives/48585) | 89 | White Day Event (H)
[Carmilla](http://game8.jp/archives/161987) | 89 [85] | Regional Festival (H)
[Dullahan](http://game8.jp/crashfever/182713) | 89 | Konosuba Collab (Q)
[Caesar](http://game8.jp/archives/147025) | 89 | Permanent (H)
[West Queen/Sei Ou Nyan Nyan! UA](http://game8.jp/archives/144169) | 88 | Regional Festival (H)
[Bride Amaterasu](http://game8.jp/archives/154518) | 88 [85] | Bridal Event (H)
[Yamata no Orochi](http://game8.jp/archives/33745) | 88 | Permanent (H)
[Qasaran Pasarang/Unknown Cat](http://game8.jp/archives/133166)  | 88 | BC Collab (H)
[Lemaitre UA](http://game8.jp/archives/118783) | 87 | Ranking (H)
[Mashiro](http://game8.jp/archives/131385) | 87 | White Day Event (H)
[Hatsune Miku](http://game8.jp/archives/43711) | 87 | Vocaloid Collab (H)
[Lancelot](http://game8.jp/archives/39800) | 87 | Permanent (H)
[Chizuru Kagura](http://game8.jp/archives/156808) | 87 | KoF Collab (H)
[Tolstoy](http://game8.jp/archives/101915) | 87 | Permanent (H)
[Shoki](http://game8.jp/archives/47884) | 86 | Wizard (Q)
[Fool/Feurs Halloween Ver.](http://game8.jp/archives/178807) | 86 | Halloween 2 Event (H)
[Skulls/Skulz/Skullz](http://game8.jp/archives/144243) | 86 | Event Wizard (Q)
[Inaba](http://game8.jp/archives/51845) | 86 | Permanent (H)
[Lemaitre](http://game8.jp/archives/118779) | 85 | Ranking (H)
Han Xiangzi | [85] | Regional Festival (H)
[Eris](http://game8.jp/crashfever/182890) | 85 | Konosuba Collab Raid Reward
[Kazuma](http://game8.jp/crashfever/182712) | 85 | Konosuba Collab Ticket (H)
[Matsuri Metatron](http://game8.jp/archives/166539) | 85 | Matsuri Event (H)
[Ushiwakamaru](http://game8.jp/archives/83096) | 85 | Permanent (H)
[Hamelin](http://game8.jp/archives/42334) | 84 | Permanent (H)
[Idol Sanada Yukimura](http://game8.jp/archives/171418) | 84 | School Event (Q)
[De Morgan](http://game8.jp/archives/81709) | 84 | Ranking (H)
[Spring/Ohanami Soji Okita](http://game8.jp/archives/139397) | 84 | Spring Event (H)
[Summer Freyr (Tanned)](http://game8.jp/archives/163466) | 83 | Summer Event (Q)
[Sinbad](http://game8.jp/archives/140948) | 83 | Permanent (H)
[Takasugi Shinsaku](http://game8.jp/archives/178292) | 83 | Permanent (H)
[Wakahirume](http://game8.jp/archives/126856) | 83 | Wizard (Q)
[Bride Bastet](http://game8.jp/archives/154517) | 83 | Bridal Event (H)
[Hattori Hanzo](http://game8.jp/archives/142592) | 83 | Wizard (Q)
[West Queen/Sei Ou Nyan Nyan!](http://game8.jp/archives/114133) | 83 | Regional Festival (H)
[Ishtar](http://game8.jp/archives/85082) | 83 | Permanent (H)
[Hel Kitten Ver.](http://game8.jp/archives/178810) | 82 | Halloween 2 Event (Q)
[Hel Maid Ver.](http://game8.jp/archives/178809) | 82 | Halloween 2 Event (Q)
[Grimm UA](http://game8.jp/archives/142277) | 82 | Wizard (Q)
[Zenobia](http://game8.jp/archives/147032) | 82 | Wizard (Q)
[Osiris](http://game8.jp/archives/79332) | 81 | Wizard (Q)
[Azazel UA](http://game8.jp/archives/89967) | 81 | Wizard (Q)
[Atlas](http://game8.jp/archives/86347) | 81 | Wizard (Q)
